Channel,Elevation,Azimuth
1,14.833,-1.042
2,10.983,-1.042
3,8.01,-1.042
4,5.008,-1.042
5,2.991,-1.042
6,1.979,-1.042
7,1.639,3.125
8,1.302,-5.208
9,0.964,-1.042
10,0.626,3.125
11,0.288,-5.208
12,-0.049,-1.042
13,-0.386,3.125
14,-0.724,-5.208
15,-1.062,-1.042
16,-1.4,3.125
17,-1.737,-5.208
18,-2.077,-1.042
19,-2.414,3.125
20,-2.749,-5.208
21,-3.089,-1.042
22,-3.424,3.125
23,-3.761,-5.208
24,-4.099,-1.042
25,-4.434,3.125
26,-4.769,-5.208
27,-5.106,-1.042
28,-5.44,3.125
29,-5.775,-5.208
30,-6.11,-1.042
31,-7.112,-1.042
32,-8.108,-1.042
33,-9.109,-1.042
34,-10.094,-1.042
35,-11.081,-1.042
36,-12.055,-1.042
37,-13.023,-1.042
38,-13.979,-1.042
39,-18.938,-1.042
40,-24.946,-1.042
